No,Filename,Width,Height,AspectRatio,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,dl_monitoring.png,2000,800,2.50,193.8,Ultra-wide,812x325,328x600
2,effect_of_soft_threshold_on_rank_d2.png,1200,1000,1.20,43.5,Near square,720x600,420x600
3,effect_tau_sparsity_d1_on_far_3d.png,1600,1200,1.33,283.3,Standard landscape,800x600,340x600
4,effect_tau_sparsity_d1_on_fdr_3d.png,1600,1200,1.33,288.2,Standard landscape,800x600,340x600
5,exp1_D1_heatmap.png,1700,1040,1.63,44.3,Wide landscape,812x497,328x600
6,exp1_D2_heatmap.png,1700,1040,1.63,47.8,Wide landscape,812x497,328x600
7,exp1_D2_init_heatmap.png,1700,1040,1.63,63.2,Wide landscape,812x497,328x600
8,exp1_D_heatmap.png,1700,1040,1.63,58.3,Wide landscape,812x497,328x600
9,exp1_P_heatmap.png,1700,1040,1.63,52.2,Wide landscape,812x497,328x600
10,exp1_X1_boxplot_with_outliers_scale_explanation.png,2750,1144,2.40,111.1,Ultra-wide,812x338,328x600
11,exp1_X1_heatmap.png,1600,1000,1.60,156.9,Wide landscape,812x508,328x600
12,exp1_X1_train_vs_detection_boxplot_scale_diagnostic.png,3200,1200,2.67,99.5,Ultra-wide,812x304,328x600
13,exp1_X1_train_vs_detection_distribution.png,2970,1936,1.53,173.4,Wide landscape,812x529,328x600
14,exp1_X2_heatmap.png,1600,1000,1.60,174.9,Wide landscape,812x508,328x600
15,exp1_X_heatmap.png,1600,1000,1.60,167.6,Wide landscape,812x508,328x600
16,exp1_dl_monitoring.png,2000,800,2.50,214.6,Ultra-wide,812x325,328x600
17,exp1_jssdl_monitoring.png,2000,800,2.50,95.7,Ultra-wide,812x325,328x600
18,exp1_objective_components.png,2200,1600,1.38,181.3,Standard landscape,825x600,315x600
19,exp1_objective_curve.png,1400,800,1.75,95.0,Wide landscape,812x464,328x600
20,exp1_pca_spe.png,2000,800,2.50,130.5,Ultra-wide,812x325,328x600
21,exp1_pca_t2.png,2000,800,2.50,169.1,Ultra-wide,812x325,328x600
22,exp1_rpca_spe.png,2000,800,2.50,141.7,Ultra-wide,812x325,328x600
23,exp1_rpca_t2.png,2000,800,2.50,173.7,Ultra-wide,812x325,328x600
